id,name,ORCID,org,IDAF,Publisher,IDPS
AUTH_KONAKA,Koichi Nakagawa,http://orcid.org/0009-0000-3271-1147,Yonsei University,ORG_00150,,
AUTH_KOTSUD,Kojiro Tsuda,http://orcid.org/0000-0002-6037-4966,Bar Ilan University,ORG_00151,,
AUTH_KOVIRE,Kong Vireak,,German Federal Foreign Office,ORG_00152,,
AUTH_KWMOON,Kwang Hee Moon,,Hungarian Southeast Asian Research Institute,ORG_00153,,
AUTH_KYONIS,Kyosuke Onishi,http://orcid.org/0000-0002-4679-3670,Hungarian Ministry of Foreign Affairs,ORG_00154,,
AUTH_LADUSS,Laure Dussubieux,http://orcid.org/0000-0002-9334-8131,Japan Funds-in-Trust,ORG_00155,,
AUTH_LAMAYS,Larry W. Mays,http://orcid.org/0000-0002-4382-606X,ICCROM Italy,ORG_00156,,
AUTH_LEKONG,Leaksmy Kong,,University of Bonn,ORG_00157,,
AUTH_LENAM,Le Canh Nam,http://orcid.org/0000-0001-9200-4831,Royal Angkor Foundation,ORG_00158,,
AUTH_LIGAO,Lin Gao,,Hungarian Indochina Company,ORG_00159,,
AUTH_LIKEAL,Lisa Kealhofer,http://orcid.org/0000-0002-8308-462X,Chulachomklao Royal Military Academy,ORG_00160,,
AUTH_LOLEBE,Louis Lebel,http://orcid.org/0000-0001-6187-6418,China Academy for Cultural Heritage,ORG_00161,,
AUTH_LONARY,Long Nary,,Archaeological Survey of India ,ORG_00162,,
AUTH_LUDU,Lui Du,,Thailand Research Fund ,ORG_00163,,
AUTH_LUSALV,Luca Salvati,http://orcid.org/0000-0001-9322-9987,Australian Research Council,ORG_00164,,
AUTH_LYMESK,Lynn Meskell,http://orcid.org/0000-0001-9087-3611,Swiss Agency for Development and Cooperation,ORG_00165,,
AUTH_MAANDR,Marie-Françoise André,http://orcid.org/0000-0003-0367-5196,International Alliance for the Protection of Heritage,ORG_00166,,
AUTH_MAARAY,Masato Araya,,Ambassadors Fund for Cultural Preservation,ORG_00167,,
AUTH_MADENG,Maocheng Deng,http://orcid.org/0000-0002-9571-9442,National Culutral Heritage Administration (China),ORG_00168,,
AUTH_MAGUER,Mathieu Guérin,http://orcid.org/0009-0006-2757-0865,Government of the Republic of India,ORG_00169,,
AUTH_MAKAGE,Masataka Kagesawa,http://orcid.org/0009-0003-4013-5583,Boner Foundation for Fundamental Research,ORG_00170,,
AUTH_MAKAMA,Mawo Kamakura,,French Ministry of Foreign Affairs,ORG_00171,,
AUTH_MAKOIW,Masaki Koiwa,,New Zealand Government,ORG_00172,,
AUTH_MAKUMM,Matti Kummu,http://orcid.org/0000-0001-5096-0163,,,,
AUTH_MAPOLK,Martin Polkinghorne,http://orcid.org/0000-0002-6108-002X,,,,
AUTH_MARICC,Maria Antonietta Ricci,http://orcid.org/0000-0002-6904-6686,,,,
AUTH_MASANO,Masaki Sano,http://orcid.org/0000-0003-3391-9067,,,,
AUTH_MEKALI,Melanie Kaliwoda,http://orcid.org/0000-0001-7767-3084,,,,
AUTH_MIBAAZ,Mikael Baaz,http://orcid.org/0000-0003-2145-9016,,,,
AUTH_MIBARB,Michael Barbetti,,,,,
AUTH_MIBENI,Mireille Bénisti,,,,,
AUTH_MIBINF,Michael W. Binford,http://orcid.org/0000-0001-8914-1093,,,,
AUTH_MICHAR,Michael F. Charlton,http://orcid.org/0000-0002-9526-5743,,,,
AUTH_MIFALS,Michael S. Falser,http://orcid.org/0000-0003-3930-6843,,,,
AUTH_MIFUKU,Mitsuharu Fukuda,,,,,
AUTH_MIHEND,Mitch Hendrickson,http://orcid.org/0000-0002-7694-9648,,,,
AUTH_MILEAD,Michael Paul Leadbetter,http://orcid.org/0000-0003-1513-6958,,,,
AUTH_MISTAR,Miriam T. Stark,http://orcid.org/0000-0003-1700-4406,,,,
AUTH_MIVICK,Michael Vickery,,,,,
AUTH_MOLILJ,Mona Lilja,http://orcid.org/0000-0003-2773-8534,,,,
AUTH_MOMETW,Mohamed Metwaly,http://orcid.org/0000-0001-8770-0306,,,,
AUTH_MOPAKD,Monticha Pakdeekong,,,,,
AUTH_NABEAV,Nancy Beavan,http://orcid.org/0000-0001-5649-0430,,,,
AUTH_NAMAO,Nara Mao,,,,,
AUTH_NANAGU,Naoko Nagumo,http://orcid.org/0000-0002-6032-1813,,,,
AUTH_NAWALE,Nathan Wales,http://orcid.org/0000-0002-8288-4916,,,,
AUTH_NAYAMA,Naoyuki Yamada,,,,,
AUTH_NGRICH,Ngaire Richards,,,,,
AUTH_NIHOFE,Nina Hofer,,,,,
AUTH_NIMASI,Nicola Masini,http://orcid.org/0000-0002-8804-5718,,,,
AUTH_NIREVI,Nicolas Revire,http://orcid.org/0009-0000-7696-4920,,,,
AUTH_NOSHIM,Nobumasa Shimizu,http://orcid.org/0009-0000-4755-0489,,,,
AUTH_NOTAN,Noel Hidalgo Tan,http://orcid.org/0000-0001-8810-0898,,,,
AUTH_OLCUNI,Olivier Cunin,,,,,
AUTH_OLVOLD,Olivier Voldoire,http://orcid.org/0000-0003-1306-3054,,,,
AUTH_ORSALV,Ornella Salvadori,http://orcid.org/0000-0002-5186-4891,,,,
AUTH_PABISH,Paul Bishop,http://orcid.org/0000-0003-0895-9606,,,,
AUTH_PANGER,Patcharaporn Ngernkerd,,,,,
AUTH_PAROBE,Patrick Roberts,http://orcid.org/0000-0002-4403-7548,,,,
AUTH_PATANG,Panpan Tang,http://orcid.org/0000-0001-7464-1968,,,,
AUTH_PECUAS,Peter Cuasay,,,,,
AUTH_PEGRAV,Peter Grave,http://orcid.org/0000-0001-5076-2386,,,,
AUTH_PEHU,Pengfei Hu,http://orcid.org/0000-0002-4596-3041,,,,
AUTH_PESHAR,Peter D. Sharrock,http://orcid.org/0009-0003-9543-6279,,,,
AUTH_PHDILL,Philippe Dillmann,http://orcid.org/0000-0003-3226-1611,,,,
AUTH_PHKASE,Phon Kaseka,http://orcid.org/0000-0002-8896-3818,,,,
AUTH_PHPHAL,Pheaktra Phal,http://orcid.org/0000-0002-6702-7959,,,,
AUTH_PIBATY,Pierre Baty,,,,,
AUTH_PIHENG,Piphal Heng,http://orcid.org/0000-0001-5020-0092,,,,
AUTH_PRSING,Prabhakar Singh,http://orcid.org/0000-0002-0029-1384,,,,
AUTH_PRTHAK,Praveen K. Thakur,http://orcid.org/0000-0002-0508-8684,,,,
AUTH_QIGE,Qingya Ge,,,,,
AUTH_QUHUA,Quan Hua,http://orcid.org/0000-0003-0179-8539,,,,
AUTH_RABAST,Ram C. Bastakoti,http://orcid.org/0000-0003-2456-5420,,,,
AUTH_RACHHA,Rachna Chhay,http://orcid.org/0000-0002-5591-0736,,,,
AUTH_RACHHE,Ratha Chhean,,,,,
AUTH_RAKLEI,Rainer Kleinschrodt,http://orcid.org/0000-0002-5901-6184,,,,
AUTH_RASHOO,Rasmi Shoocongdej,http://orcid.org/0000-0002-6492-6633,,,,
AUTH_RATHOS,Rachanie Thosarat,,,,,
AUTH_REHAMI,Rebecca Hamilton,http://orcid.org/0000-0002-5443-8353,,,,
AUTH_RIMURP,Richard J. Murphy,http://orcid.org/0000-0003-3201-4768,,,,
AUTH_ROFLET,Roland J. Fletcher,http://orcid.org/0000-0001-8969-9759,,,,
AUTH_ROFREN,Robert French,,,,,
AUTH_ROFUCH,Robert Fuchs,http://orcid.org/0000-0001-8934-5635,,,,
